,OverallQual,Neighborhood,Foundation,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt,SalePrice
930,8,Timber,PConc,8,1466,3,1466,2,2007,201000
931,5,NAmes,CBlock,5,925,1,925,1,1965,117500
932,9,Somerst,PConc,9,1905,3,1905,2,2006,320000
933,7,CollgCr,PConc,7,1500,2,1500,2,2004,190000
934,7,NAmes,CBlock,7,2069,2,585,2,1960,242000
935,4,BrkSide,PConc,4,747,2,600,1,1926,79900
936,7,SawyerW,PConc,7,1200,2,1176,2,2003,184900
937,7,Somerst,PConc,7,1971,2,1113,2,2005,253000
938,7,CollgCr,PConc,7,1962,3,1391,2,2006,239799
939,7,ClearCr,CBlock,7,2403,1,1032,2,1940,244400
940,6,Mitchel,CBlock,6,1728,2,1728,2,1976,150900
941,7,Gilbert,PConc,7,2060,2,992,2,1999,214000
942,4,Edwards,PConc,4,1440,0,1440,2,1977,150000
943,5,Mitchel,CBlock,5,1632,2,1632,2,1967,143000
944,6,Timber,CBlock,6,1344,2,819,1,1958,137500
945,5,OldTown,BrkTil,5,1869,2,1088,1,1890,124900
946,5,NAmes,CBlock,5,1144,1,1144,1,1959,143000
947,8,Timber,PConc,8,1629,3,1616,2,2002,270000
948,7,CollgCr,PConc,7,1776,2,936,2,2002,192500
949,6,NWAmes,CBlock,6,1381,2,1161,1,1972,197500
950,5,NAmes,CBlock,5,864,2,864,1,1950,129000
951,5,SawyerW,CBlock,5,965,1,828,1,1965,119900
952,5,CollgCr,CBlock,5,768,1,768,1,1972,133900
953,5,Mitchel,CBlock,5,1968,2,784,2,1969,172000
955,6,Crawfor,CBlock,6,1958,2,979,2,1946,145000
956,6,Blueste,CBlock,6,1229,2,561,1,1980,124000
957,5,Sawyer,CBlock,5,1057,2,1057,1,1962,132000
958,7,CollgCr,PConc,7,1337,2,1337,2,2003,185000
959,7,Somerst,PConc,7,1416,2,696,2,1999,155000
960,5,BrkSide,CBlock,5,858,0,858,1,1958,116500
961,6,NWAmes,CBlock,6,2872,2,1330,2,1977,272000
962,6,NPkVill,CBlock,6,1548,2,804,2,1976,155000
963,9,CollgCr,PConc,9,1800,2,1800,2,2007,239000
964,7,Timber,PConc,7,1894,2,817,2,2002,214900
965,6,Gilbert,PConc,6,1484,2,783,2,2005,178900
966,5,Crawfor,BrkTil,5,1308,1,728,1,1940,160000
967,5,NAmes,CBlock,5,1098,1,1098,1,1955,135000
968,3,OldTown,BrkTil,3,968,0,600,1,1910,37900
969,6,NAmes,CBlock,6,1095,1,588,1,1958,140000
970,4,NAmes,CBlock,4,1192,0,720,1,1949,135000
971,7,NridgHt,PConc,7,1626,2,764,2,2003,173000
972,6,SawyerW,CBlock,6,918,1,918,2,1979,99500
973,7,Somerst,PConc,7,1428,2,1428,2,2007,182000
974,7,BrkSide,BrkTil,7,2019,2,728,1,1910,167500
975,7,Somerst,PConc,7,1382,2,673,2,2000,165000
976,4,BrkSide,PConc,4,869,0,440,1,1923,85500
977,7,Somerst,PConc,7,1241,2,1241,1,2006,199900
978,4,Edwards,CBlock,4,894,2,894,1,1954,110000
979,5,Sawyer,PConc,5,1121,2,1121,1,1963,139000
980,7,NAmes,CBlock,7,999,2,944,1,1961,178400
981,8,NoRidge,PConc,8,2612,3,1225,2,1998,336000
982,7,Blmngtn,PConc,7,1266,2,1266,2,2007,159895
983,8,CollgCr,PConc,8,2290,2,1128,2,2002,255900
984,5,Mitchel,CBlock,5,1734,2,0,2,1977,126000
985,5,Edwards,CBlock,5,1164,1,1164,1,1950,125000
986,6,OldTown,CBlock,6,1635,1,485,1,1910,117000
987,9,NridgHt,PConc,9,1940,3,1930,2,2009,395192
988,6,NWAmes,CBlock,6,2030,2,848,2,1976,195000
989,7,Somerst,PConc,7,1576,2,770,2,2006,197000
990,8,NoRidge,PConc,8,2392,3,1396,2,1997,348000
991,8,OldTown,BrkTil,8,1742,2,916,1,1882,168000
992,6,NAmes,CBlock,6,1851,2,822,2,1964,187000
993,6,CollgCr,PConc,6,1500,2,750,2,2005,173900
994,10,NridgHt,PConc,10,1718,3,1700,2,2006,337500
995,4,BrkSide,CBlock,4,1230,1,747,1,1946,121600
996,5,NAmes,CBlock,5,1050,1,1050,1,1961,136500
997,6,NWAmes,CBlock,6,1442,2,1442,2,1970,185000
998,3,IDOTRR,BrkTil,3,1077,1,1007,1,1922,91000
999,7,CollgCr,PConc,7,1208,2,1187,2,2006,206000
1000,3,Edwards,Slab,3,944,2,0,1,1952,82000
1001,5,OldTown,BrkTil,5,691,1,691,1,1920,86000
1002,8,Somerst,PConc,8,1574,3,1574,2,2006,232000
1003,5,NWAmes,CBlock,5,1680,2,1680,2,1976,136905
1004,7,Blmngtn,PConc,7,1504,2,1346,2,2005,181000
1005,5,CollgCr,CBlock,5,985,1,985,2,1977,149900
1006,6,NAmes,CBlock,6,1657,2,1657,2,1970,163500
1007,4,MeadowV,CBlock,4,1092,1,546,1,1970,88000
1008,7,Mitchel,PConc,7,1710,2,1710,2,2004,240000
1009,5,SWISU,BrkTil,5,1522,0,1008,2,1926,102000
1010,5,Sawyer,CBlock,5,1271,1,720,2,1948,135000
1011,5,Edwards,CBlock,5,1664,0,0,2,1965,100000
1012,6,Crawfor,PConc,6,1502,1,602,1,1923,165000
1013,5,OldTown,BrkTil,5,1022,1,1022,1,1910,85000
1014,6,NAmes,CBlock,6,1082,1,1082,1,1948,119200
1015,8,NWAmes,PConc,8,1665,2,810,2,2001,227000
1016,7,CollgCr,PConc,7,1504,2,1504,2,1996,203000
1017,8,StoneBr,CBlock,8,1360,2,1220,1,1984,187500
1018,7,Gilbert,PConc,7,1472,2,384,2,1991,160000
1019,7,Blmngtn,PConc,7,1506,2,1362,2,2005,213490
1020,4,Edwards,PConc,4,1132,2,1132,1,2005,176000
1021,7,CollgCr,PConc,7,1220,2,1199,2,2006,194000
1022,5,OldTown,CBlock,5,1248,1,912,1,1930,87000
1023,7,Blmngtn,PConc,7,1504,2,1346,2,2005,191000
1024,8,Timber,CBlock,8,2898,2,1565,2,1976,287000
1025,5,CollgCr,CBlock,5,882,2,882,1,1972,112500
1026,5,NAmes,CBlock,5,1264,2,1268,1,1960,167500
1027,8,Timber,PConc,8,1646,3,1638,2,2007,293077
1028,5,NAmes,CBlock,5,1376,1,768,1,1941,105000
1029,6,BrDale,CBlock,6,1218,1,672,1,1972,118000
1030,5,SWISU,PConc,5,1928,0,686,2,1916,160000
1031,7,SWISU,BrkTil,7,3082,2,824,2,1920,197000
1032,8,NoRidge,PConc,8,2520,3,1338,2,1993,310000
1033,7,CollgCr,PConc,7,1654,3,1654,2,2002,230000
1034,5,Crawfor,PConc,5,954,1,920,1,1938,119750
1035,4,Edwards,Slab,4,845,1,0,1,1957,84000
1036,9,Timber,PConc,9,1620,3,1620,2,2007,315500
1037,8,CollgCr,PConc,8,2263,2,1055,2,2001,287000
1038,4,MeadowV,CBlock,4,1344,0,546,1,1970,97000
1039,4,MeadowV,CBlock,4,630,1,630,1,1970,80000
1040,5,Sawyer,CBlock,5,1803,2,1134,2,1957,155000
1041,6,NWAmes,CBlock,6,1632,2,800,1,1966,173000
1042,6,NridgHt,PConc,6,1306,2,1306,2,2005,196000
1043,7,SawyerW,PConc,7,2329,2,1475,2,1990,262280
1044,8,NWAmes,PConc,8,2524,2,2524,2,1981,278000
1045,3,Edwards,Slab,3,1733,2,0,2,1955,139600
1047,5,CollgCr,PConc,5,990,2,990,1,1994,145000
1048,5,Mitchel,Slab,5,1771,2,0,1,1960,115000
1049,4,Edwards,CBlock,4,930,1,0,1,1946,84900
1050,7,Gilbert,PConc,7,1302,2,1302,2,2007,176485
1051,7,CollgCr,PConc,7,1316,2,1316,2,2007,200141
1052,6,NAmes,CBlock,6,1977,2,816,1,1964,165000
1053,5,Edwards,CBlock,5,1526,1,1216,1,1957,144500
1054,8,CollgCr,PConc,8,1989,2,1065,2,2002,255000
1055,6,NWAmes,CBlock,6,1523,2,1193,2,1976,180000
1056,7,NridgHt,PConc,7,1364,2,1364,2,2005,185850
1057,7,NoRidge,PConc,7,1850,2,973,2,1994,248000
1058,9,NridgHt,PConc,9,2184,3,1104,2,2008,335000
1059,6,Crawfor,CBlock,6,1991,2,854,1,1932,220000
1060,8,StoneBr,PConc,8,1338,2,1338,2,2001,213500
1061,3,IDOTRR,CBlock,3,894,3,894,1,1935,81000
1062,5,OldTown,BrkTil,5,2337,2,662,2,1900,90000
1063,6,OldTown,BrkTil,6,1103,2,1103,1,1925,110500
1064,5,NAmes,CBlock,5,1154,2,1154,1,1966,154000
1065,7,ClearCr,PConc,7,2260,2,1306,2,1996,328000
1066,6,Gilbert,PConc,6,1571,2,799,2,1993,178000
1067,6,NAmes,CBlock,6,1611,2,780,1,1964,167900
1068,6,MeadowV,CBlock,6,2521,2,942,2,1973,151400
1069,5,NAmes,CBlock,5,893,2,845,1,1949,135000
1070,5,NAmes,CBlock,5,1048,1,1048,1,1956,135000
1071,6,NWAmes,CBlock,6,1556,2,727,1,1968,154000
1072,5,Edwards,CBlock,5,1456,1,810,1,1948,91500
1073,6,Edwards,CBlock,6,1426,2,690,1,1977,159500
1074,7,CollgCr,PConc,7,1240,3,1240,2,2006,194000
1075,7,Crawfor,CBlock,7,1740,1,800,1,1940,219500
1076,5,OldTown,CBlock,5,1466,2,796,2,1936,170000
1077,5,NAmes,CBlock,5,1096,1,1096,1,1969,138800
1078,6,CollgCr,PConc,6,848,2,848,1,2004,155900
1079,5,CollgCr,PConc,5,990,1,990,1,1994,126000
1080,6,NWAmes,CBlock,6,1258,2,1258,2,1971,145000
1081,5,Sawyer,CBlock,5,1040,1,1040,1,1963,133000
1082,7,CollgCr,PConc,7,1459,2,1459,2,2002,192000
1083,6,NAmes,CBlock,6,1251,1,1251,1,1964,160000
1084,6,Gilbert,PConc,6,1498,2,691,2,1995,187500
1085,6,SawyerW,PConc,6,996,2,936,1,1992,147000
1086,4,MeadowV,CBlock,4,1092,1,546,1,1973,83500
1087,8,Somerst,PConc,8,1953,3,1082,2,2005,252000
1088,7,Edwards,PConc,7,1709,2,970,2,2004,137500
1089,8,Somerst,PConc,8,1247,2,1247,1,2005,197000
1090,3,NAmes,Slab,3,1040,2,0,2,1950,92900
1091,7,Somerst,PConc,7,1252,2,600,2,1999,160000
1092,6,SWISU,PConc,6,1694,2,1181,2,1925,136500
1093,5,NAmes,CBlock,5,1200,2,864,1,1965,146000
1094,5,NAmes,CBlock,5,936,1,936,1,1956,129000
1095,6,CollgCr,PConc,6,1314,2,1314,2,2006,176432
1096,6,IDOTRR,PConc,6,1355,0,684,1,1914,127000
1097,8,StoneBr,CBlock,8,1088,2,1074,1,1986,170000
1098,4,BrkSide,BrkTil,4,1324,1,672,1,1936,128000
1099,7,NWAmes,CBlock,7,1601,2,1271,2,1978,157000
1100,2,SWISU,CBlock,2,438,1,290,1,1920,60000
1101,5,NAmes,CBlock,5,950,1,950,1,1971,119500
1102,5,NAmes,CBlock,5,1134,1,1010,1,1960,135000
1103,6,NAmes,CBlock,6,1194,2,655,1,1959,159500
1104,5,BrDale,CBlock,5,1302,2,630,2,1970,106000
1105,8,NoRidge,PConc,8,2622,2,1463,2,1994,325000
1106,7,SawyerW,PConc,7,1442,2,910,2,1990,179900
1107,7,Gilbert,PConc,7,2021,2,868,2,2006,274725
1108,6,Gilbert,PConc,6,1690,2,924,2,2000,181000
1109,8,NridgHt,PConc,8,1836,3,1836,2,2004,280000
1110,6,Gilbert,PConc,6,1658,2,773,2,1995,188000
1111,7,NWAmes,CBlock,7,1964,2,803,2,1976,205000
1112,5,NAmes,CBlock,5,816,1,816,1,1957,129900
1113,5,NAmes,CBlock,5,1008,1,1008,1,1953,134500
1114,5,OldTown,CBlock,5,833,1,833,1,1954,117000
1115,8,NridgHt,PConc,8,1734,3,1734,2,2007,318000
1116,8,Gilbert,PConc,8,1419,2,408,2,2002,184100
1117,5,Sawyer,CBlock,5,894,2,894,1,1967,130000
1118,5,Sawyer,CBlock,5,1601,1,533,1,1958,140000
1119,5,NAmes,CBlock,5,1040,1,1040,1,1959,133700
1120,6,IDOTRR,BrkTil,6,1012,1,1012,1,1920,118400
1121,7,CollgCr,PConc,7,1552,3,1552,2,2005,212900
1122,4,Edwards,CBlock,4,960,1,672,1,1956,112000
1123,5,Edwards,CBlock,5,698,0,698,1,1947,118000
1124,7,Gilbert,PConc,7,1482,2,384,2,1992,163900
1125,4,NAmes,CBlock,4,1005,2,1005,1,1955,115000
1126,7,Blmngtn,PConc,7,1555,3,1373,2,2007,174000
1127,7,Gilbert,PConc,7,1530,3,1530,2,2004,259000
1128,7,Gilbert,PConc,7,1959,2,847,2,2004,215000
1129,5,OldTown,CBlock,5,936,2,936,1,1980,140000
1130,4,SWISU,BrkTil,4,1981,2,1122,2,1928,135000
1131,5,Mitchel,PConc,5,974,0,974,1,1991,93500
1132,6,OldTown,BrkTil,6,2210,1,1008,2,1880,117500
1133,8,SawyerW,PConc,8,2020,2,1128,2,1995,239500
1134,6,Gilbert,PConc,6,1600,2,916,2,1997,169000
1135,6,BrkSide,BrkTil,6,986,1,960,1,1926,102000
1136,6,NAmes,CBlock,6,1252,1,1032,1,1950,119000
1137,5,Sawyer,CBlock,5,1020,0,780,1,1875,94000
1138,6,Mitchel,PConc,6,1567,2,1567,2,1977,196000
1139,5,BrkSide,BrkTil,5,1167,2,915,1,1920,144000
1140,5,NAmes,CBlock,5,952,2,952,1,1951,139000
1141,5,NWAmes,CBlock,5,1868,2,780,2,1976,197500
1142,8,CollgCr,PConc,8,2828,3,1466,3,2006,424870
1143,5,Sawyer,CBlock,5,1006,0,1006,1,1959,80000
1144,4,Edwards,BrkTil,4,924,1,672,1,1941,80000
1145,5,BrkSide,BrkTil,5,1576,1,1042,1,1928,149000
1146,6,SawyerW,CBlock,6,1298,2,1298,2,1985,180000
1147,7,Crawfor,CBlock,7,1564,1,704,1,1941,174500
1148,7,OldTown,PConc,7,1111,1,572,1,1926,116900
1149,7,OldTown,PConc,7,1482,2,650,1,1920,143000
1150,6,NAmes,CBlock,6,932,1,932,1,1950,124000
1151,5,Edwards,CBlock,5,1466,2,1466,1,1959,149900
1152,6,Crawfor,PConc,6,1811,2,1073,1,1956,230000
1153,6,IDOTRR,BrkTil,6,816,1,816,1,1930,120500
1154,7,NAmes,CBlock,7,1820,2,864,1,1965,201800
1155,5,Veenker,CBlock,5,1437,2,1437,2,1976,218000
1156,5,NAmes,PConc,5,1265,2,1219,2,1965,179900
1157,7,NridgHt,PConc,7,1314,2,1314,2,2007,230000
1158,8,Somerst,PConc,8,1580,3,1580,2,2007,235128
1159,6,NWAmes,CBlock,6,1876,2,901,2,1974,185000
1160,6,NPkVill,CBlock,6,1456,2,855,2,1978,146000
1161,6,Crawfor,CBlock,6,1640,2,1296,1,1954,224000
1162,5,Sawyer,CBlock,5,894,2,894,1,1968,129000
1163,4,Sawyer,CBlock,4,1258,2,1198,0,1969,108959
1164,5,Veenker,PConc,5,1432,2,1360,1,1978,194000
1165,7,NridgHt,PConc,7,1502,2,1502,2,2009,233170
1166,8,CollgCr,PConc,8,1694,3,1694,2,2008,245350
1167,6,Gilbert,PConc,6,1671,2,959,2,2000,173000
